fragrance_name,brand_name,ingredients,olfactive_family,olfactive_subfamily,frag_classifier,price,description,origin,gender,year,concepts,fragrance_url
BOIS NOMADES,Chopard,"Oud / Agarwood, Cedarwood (Atlas), Rose Damascena, Cypriol / Nagarmota, Incense / Olibanum, Myrrh, Opoponax, Rose (Bulgaria), Cinnamon, Clove, Styrax, Black Pepper, Nargileh Accord",WOODY,AMBERY (ORIENTAL),Woody Amber Classical,"$, $, $","Bois Nomades is a fragrant and imaginary evocation of the long journeys made by travellers in the past, crossing continents in search of elsewhere. Journeys full of poetry, music, cultures, scents and different tastes. Another world, another time. ",Switzerland,Unisex,2022,"Intense, Rich, Robust, Powerful, Woody, Winter, Brown, Black, Autum, Night",https://www.wikiparfum.com/en/fragrances/bois-nomades-1
PATCHOULI DE SUMATRA,Chopard,"Patchouli (Indonesia), Kaffir Lime (Combava), Cedar leaf, Guaiac Wood, Bergamot, Orange, Cardamom, Coconut, Fig, Geranium, Juniper Berries, Milk, Clary Sage",WOODY,CITRUS,Woods Fresher Citrus,"$, $, $","This scent is a composition based on patchouli. This is not however an earthy, dark patchouli that would appear as base notes, but instead a luminous, fresh, energetic fragrance, as if there were a wellspring of patchouli in which you could take a refreshing dip. ",Switzerland,Unisex,2022,"Everyday, Casual, Robust, Elegant, Intense, Rich, Powerful, Autum, Generous, Day",https://www.wikiparfum.com/en/fragrances/patchouli-de-sumatra
SANTAL ODEYAR,Chopard,"Sandalwood (Australia), Orange Blossom (Morocco), Mango, Tuberose, Rose Damascena, Jasmine (Grandiflorum), Jasmine (Sambac), Orange Blossom (Tunisia), Bergamot, Ciste Labdanum, Dates, Mandarin, Pear, Pomegranate, Benzoin (Siam)",WOODY,FLORAL,Woods Crisp White Flower,"$, $, $","""We wanted to recreate a mysterious garden, like the gardens of the Arabian Nights. A place full of water, dotted with fountains and labyrinths of flowers. The scents change as you walk through and you come across rare species of flowers and wood. A dream. Senses are heightened, be it sight, smell, or hearing, delighted by the music of water, whispering leaves or birdsong,"" Alberto Morillas, Perfumer. ",Switzerland,Unisex,2022,"Rich, Intense, Robust, Powerful, Everyday, Elegant, Woody, Autum, Casual, Winter",https://www.wikiparfum.com/en/fragrances/santal-odeyar-1
SPARKLING LOVE,Chopard,"Jasmine (Sambac), Mandarin, Helvetolide (Musk), Osmanthus, Tuberose, Ylang-ylang, Bergamot, Cedarwood",FLORAL,FLORAL,Floral Fresher White Flower,"$, $","Sparkling Love is a luminous, powerful floral, as pure and captivating as a diamond.",Switzerland,Female,2023,"Sparkling, Everyday, Floral, Blooming, Round, Romantic, Rich, Clean, Casual, Day",https://www.wikiparfum.com/en/fragrances/sparkling-love
VANILLE MALIKA IMPERIALE,Chopard,"Vanilla (Bourbon), Ciste Labdanum, Cashmeran (Woody musky), Pink Pepper, Vanilla (Madagascar), Incense / Olibanum, Opoponax, Patchouli, Cedarwood, Lychee, Sandalwood",AMBERY (ORIENTAL),AMBERY (ORIENTAL),Amber Classical,"$, $",Vanille Malika is the fragrance of an elegant woman of sovereign and eternal beauty.,Switzerland,Female,2023,"Intense, Rich, Robust, Powerful, Night, Oriental, Ambery, Round, Heavy, Loud",https://www.wikiparfum.com/en/fragrances/vanille-malika-imperiale
HAPPY MAGNOLIA BOUQUET,Chopard,"Magnolia (China), Osmanthus, Davana, Sichuan Pepper",FLORAL,FRUITY,Floral Crisp Magnolia,"$, $",Magnolia Bouquet is a tenderly soothing floral elixir. May this exceptional creation bring you a profusion of positive emotions.,Switzerland,Female,2023,"Everyday, Romantic, Colourful, Exotic, Cheerful, Happy, Optimistic, Freedom, Joyful, Day",https://www.wikiparfum.com/en/fragrances/happy-magnolia-bouquet
LEATHER MALAKI,Chopard,"Leather, Cedarwood (Atlas), Bergamot, Black Pepper, Mineral Notes",LEATHER,WOODY,Dry Woods Classical,"$, $","Created for modern wayfarers who are irresistibly drawn to wide-open spaces and dizzying heights, Leather Malaki is an exhilarating, boundless breath of life.",Switzerland,Male,2024,"Intense, Rich, Robust, Powerful, Autum, Winter, Grey, Deep, Loud, Affirmed",https://www.wikiparfum.com/en/fragrances/leather-malaki
JASMIN MALIKA,Chopard,"Jasmine (Grandiflorum), Patchouli, Mandarin, Neroli, Cypriol / Nagarmota, Nutmeg, Osmanthus, Ambrox (Ambergris), Jasmine (Sambac)",CHYPRE,CITRUS,Mossy Woods Fresher Citrus,"$, $","Inspired by the radiance of the solar diamond, this eau de parfum is a luminous aura composed around two varieties of jasmine. ",Switzerland,Unisex,2025,"Robust, Elegant, Intense, Rich, Powerful, Generous, Casual, Sophisticated, Exotic, Feminine",https://www.wikiparfum.com/en/fragrances/jasmin-malika
ANGÉLIQUE BEGUM,Chopard,"Angelica, Patchouli (Indonesia), Orange Blossom, Mandarin, Pink Pepper, Saffron, Benzoin (Siam), Cedarwood (Virginia), Vetiver (Haiti)",CHYPRE,FLORAL,Mossy Woods Fresher White Flower,$,"Like the olfactory jewel of an Asian emperess, the aromatic and spicy notes of angelica flower shine through sunny-orange blossom to reveal a deep, mysterious patchouli wood. Angélique Begum leaves a mysterious trail bathed in almost unreal solar notes. ",Switzerland,Female,2025,"Rich, Intense, Robust, Powerful, Elegant, Feminine, Purple, Sophisticated, Mossy, Autum",https://www.wikiparfum.com/en/fragrances/angelique-begum
GARDÉNIA TAHIA,Chopard,"Gardenia, Coconut, Vanilla (Bourbon), Ylang-ylang, Almond, Cocoa, Mandarin, Rhubarb, Tonka Bean",FLORAL,FLORAL,Floral Fresher White Flower,$,"Inspired by the jewels of a Tahitian princess, Gardenia Tahia reveals the purity of the gardenia flower. It's the amber-floral fragrance of a princess with an enchanting femininity.",Switzerland,Female,2025,"Everyday, Floral, Blooming, Round, Romantic, Rich, Clean, Casual, Day, Feminine",https://www.wikiparfum.com/en/fragrances/gardenia-tahia
