fragrance_name,brand_name,ingredients,olfactive_family,olfactive_subfamily,frag_classifier,price,description,origin,gender,year,concepts,fragrance_url
REMIX COLOGNE ANNIVERSARY EDITION 2017,4711,"Lavender, Bergamot, Neroli, Rosemary, Lemon, Orange, Petitgrain",AROMATIC FOUGERE,CITRUS,Aromatic Fougère Fresher Citrus,$,"A homage to a great classic scent, the new recipe will win over new admirers just as much as it appeals to established fans. A remix of sensual impressions, it reinvents the familiar while creating something and original.",Germany,Unisex,2017,"Everyday, Casual, Day, Dynamic, Energyzing, Sporty, Summer, Sparkling, Fresh, Invigorating",https://www.wikiparfum.com/en/fragrances/remix-cologne-anniversary-edition-2017
PEONY & SANDALWOOD,4711,"Peony, Sandalwood, Pear, Jasmine, Rose, Water Lily, Cedarwood, Lemon, Musk",FLORAL,FRUITY,Floral Crisp Fruity,$,"4711 Acqua Colonia Peony & Sandalwood is a sophisticated and graceful creation that feels like a caress of your own skin, harmonising body and mind. ",Germany,Female,2022,"Everyday, Romantic, Day, Casual, Blooming, White, Spring, Cheerful, Happy, Optimistic",https://www.wikiparfum.com/en/fragrances/peony-sandalwood
AMBER MANDARIN,4711,"Amber, Mandarin (green), Cardamom, Orange, Iris / Orris, Musk, Osmanthus, Patchouli, Pink Pepper",AMBERY (ORIENTAL),CITRUS,Soft Amber Fresher Citrus,"$, $, $","A luxurious re-interpretation of the bittersweet mandarin. An unexpected and unique creation emerges, in which the citrus fruit gleams in a new warm glow.",Germany,Unisex,2024,"Casual, Generous, Robust, Everyday, Intense, Rich, Powerful, Girly, Self-Confident, Night",https://www.wikiparfum.com/en/fragrances/amber-mandarin
MAJESTIC LEATHER,4711,"Leather, Saffron, Tobacco Leaf, Cypriol / Nagarmota, Rose, Clove, Patchouli, Plum, Vanilla",LEATHER,WOODY,Dry Woods Classical,"$, $, $","Spicy, voluminous and infinitely sensual: Majestic Leather takes its wearer on a sensual journey to the Orient.",Germany,Unisex,2024,"Intense, Rich, Robust, Powerful, Night, Winter, Deep, Loud, Autum, Affirmed",https://www.wikiparfum.com/en/fragrances/majestic-leather
MIDNIGHT SANDAL,4711,"Sandalwood (New Caledonia), Cardamom, Ginger, Vetiver, Heliotrope, Jasmine (Sambac), Amber, Bergamot, Coriander",WOODY,WOODY,Woods Classical,"$, $, $","Intense, precious and vibrant, Midnight Sandal is a tribute to the birthplace of the sandalwood: India.",Germany,Unisex,2024,"Intense, Rich, Robust, Powerful, Woody, Earthy, Elegant, Brown, Grey, Black",https://www.wikiparfum.com/en/fragrances/midnight-sandal
NOBLE ROSE,4711,"Rose, Rose Thorn, Cedarwood, Rose Damascena, Bergamot, Blackcurrant, Guaiac Wood, Loukhoum, Musk",FLORAL,GREEN,Floral Crisp Green,"$, $, $",Noble Rose honours the queen of flowers with a profound and richly contrasting composition that delves into the magical world of Asia Minor and its precious treasure. ,Germany,Unisex,2024,"Everyday, Blooming, Spring, Casual, Day, White, Romantic, Cheerful, Happy, Optimistic",https://www.wikiparfum.com/en/fragrances/noble-rose
ORCHID VANILLA,4711,"Orchid, Vanilla (Bourbon), Freesia, Musk, Rose Centifolia, Jasmine (Sambac), Amber, Peach",FLORAL,GOURMAND,Floral Fresher Gourmand,"$, $, $","Orchid Vanilla serenades the queen of gourmand blooms, the orchid, whose creamy yellow blossoms protect the precious treasure of the vanilla plant. ",Germany,Unisex,2024,"Round, Rich, Everyday, Generous, Cheerful, Happy, Optimistic, Freedom, Joyful, Intense",https://www.wikiparfum.com/en/fragrances/orchid-vanilla
SMOKY TONKA,4711,"Tonka Bean, Praline, Cognac, Oak, Vanilla, Bergamot, Cinnamon, Sandalwood",AMBERY (ORIENTAL),GOURMAND,Amber Fresher Gourmand,"$, $, $",Smoky Tonka whisks you away to a classy chalet in the French Alps to relax in front of a crackling fire while diving into the world of desserts. ,Germany,Unisex,2024,"Intense, Rich, Powerful, Night, Generous, Robust, Warm, Hot, Sweet, Winter",https://www.wikiparfum.com/en/fragrances/smoky-tonka
VIBRANT MUSK,4711,"Musk, Iso E Super (Cedarwood Note), Cashmeran (Woody musky), Norlimbanol (Woody ambery), Cedarwood, Ambroxan (Ambergris), Black Pepper",WOODY,WOODY,Woods Classical,"$, $, $","Unique and unforgettably compelling, Vibrant Musk dives into the world of molecular perfumery and sets the stage for a special classic.  ",Germany,Unisex,2024,"Intense, Rich, Robust, Powerful, Woody, Earthy, Elegant, Brown, Grey, Black",https://www.wikiparfum.com/en/fragrances/vibrant-musk
4711 ICE,4711,"Lily Of The Valley, Bergamot, Musk, Violet, Peach, Pineapple, Plum, Ambergris, Cedarwood",FLORAL,FRUITY,Floral Fresher Fruity,$,Everyone wants it: pure refreshment. But it's got to be something special. Something extraordinary and refreshingly different. 4711 Ice: Be refreshed into the summer season.,Germany,Unisex,2008,"Everyday, Romantic, Day, Casual, Blooming, White, Spring, Cheerful, Happy, Optimistic",https://www.wikiparfum.com/en/fragrances/4711-ice
4711 REMIX GREEN OASIS COLOGNE EDITION 2024,4711,"Magnolia, Cedarwood, Pitahaya, Gardenia, Lemon, Musk, Plum, Sandalwood, Watermelon, Watery",FLORAL,GREEN,Floral Fresher Fruity,$,A scent like a green oasis full of adventure for the summer of your life.,Germany,Unisex,2024,"Everyday, Spring, Cheerful, Happy, Optimistic, Freedom, Casual, Day, Blooming, Floral",https://www.wikiparfum.com/en/fragrances/4711-remix-green-oasis-cologne-edition-2024
YUZU & CEDARWOOD,4711,"Yuzu, Cedarwood (China), Incense / Olibanum, Grapefruit, Lemon, Musk, Patchouli, Pink Pepper",WOODY,CITRUS,Woods Fresher Citrus,$,"4711 Acqua Colonia Yuzu & Cedarwood is a fresh, lively fragrance that stimulates the mind and bestows focus.",Germany,Unisex,2024,"Everyday, Casual, Robust, Elegant, Intense, Rich, Powerful, Autum, China, Generous",https://www.wikiparfum.com/en/fragrances/yuzu-cedarwood
ORRIS & SILK,4711,"Silk Tree Blossom, Iris / Orris",FLORAL,MUSK SKIN,Soft Floral Fresher Iris,$,A warm and floral scent with the powdery opulence of iris root and the superlative lightness of silk. A harmonious bouquet with a mesmerising softness.,Germany,Unisex,2024,"Everyday, Casual, Day, Romantic, White, Blooming, Comfortable, Unisexe, Round, Autum",https://www.wikiparfum.com/en/fragrances/orris-silk
